Wavelength (nm)	Transmission (dBm)	Linear Transmission
1575.000000	-210.000000	0.000000
1575.015991	-81.279999	0.000000
1575.031982	-82.879997	0.000000
1575.047974	-210.000000	0.000000
1575.063965	-210.000000	0.000000
1575.079956	-81.449997	0.000000
1575.095947	-210.000000	0.000000
1575.112061	-80.660004	0.000000
1575.128052	-210.000000	0.000000
1575.144043	-86.980003	0.000000
1575.160034	-210.000000	0.000000
1575.176025	-81.120003	0.000000
1575.192017	-85.889999	0.000000
1575.208008	-210.000000	0.000000
1575.223999	-90.660004	0.000000
1575.239990	-210.000000	0.000000
1575.255981	-210.000000	0.000000
1575.271973	-210.000000	0.000000
1575.287964	-210.000000	0.000000
1575.303955	-210.000000	0.000000
1575.319946	-79.750000	0.000000
1575.336060	-210.000000	0.000000
1575.352051	-210.000000	0.000000
1575.368042	-210.000000	0.000000
1575.384033	-81.629997	0.000000
1575.400024	-210.000000	0.000000
1575.416016	-210.000000	0.000000
1575.432007	-81.629997	0.000000
1575.447998	-210.000000	0.000000
1575.463989	-210.000000	0.000000
1575.479980	-82.879997	0.000000
1575.495972	-210.000000	0.000000
1575.511963	-89.419998	0.000000
1575.527954	-210.000000	0.000000
1575.543945	-210.000000	0.000000
1575.560059	-210.000000	0.000000
1575.576050	-83.980003	0.000000
1575.592041	-210.000000	0.000000
1575.608032	-86.989998	0.000000
1575.624023	-210.000000	0.000000
1575.640015	-82.019997	0.000000
1575.656006	-95.440002	0.000000
1575.671997	-210.000000	0.000000
1575.687988	-210.000000	0.000000
1575.703979	-88.449997	0.000000
1575.719971	-83.129997	0.000000
1575.735962	-90.669998	0.000000
1575.751953	-210.000000	0.000000
1575.767944	-210.000000	0.000000
1575.784058	-79.529999	0.000000
1575.800049	-210.000000	0.000000
1575.816040	-90.669998	0.000000
1575.832031	-90.669998	0.000000
1575.848022	-86.410004	0.000000
1575.864014	-80.389999	0.000000
1575.880005	-82.650002	0.000000
1575.895996	-210.000000	0.000000
1575.911987	-210.000000	0.000000
1575.927979	-210.000000	0.000000
